,,,,,,,,,,,,,,,,,
CATÁLOGO NUMÉRICO DEL ANEXO 2 DE LA  RESOLUCIÓN QUE ESTABLECE EL MECANISMO PARA GARANTIZAR EL PAGO DE CONTRIBUCIONES EN MERCANCÍAS SUJETAS A  PRECIOS ESTIMADOS POR LA  SECRETARÍA DE HACIENDA Y CRÉDITO PÚBLICO  CATÁLOGO.,,,,,,,,,,,,,,,,,
,,,,,, PRECIO  ESTIMADO  EN DÓLARES DE E.U.A POR UNIDAD  COMERCIAL  Y  POR ANTIGÜEDAD  DEL AÑO MODELO,,,,,,,,,,,
CATALOGO NUMÉRICO,FRACCION ARANCELARIA,NICO,MARCA,DESCRIPCION DE NICO,UNIDAD COMERCIAL,2009,2010,10 AÑOS O  MÁS,9 AÑOS,8 AÑOS,7 AÑOS, 6 AÑOS,5 AÑOS,4 AÑOS,3 AÑOS,2 AÑOS,HASTA 1 AÑO
50,8701.20.02,,PETERBILT,362  90” BBC ALUMINUM TILT CAB,Pza,,,,"10,075",,,,,,,,
51,8701.20.02,,PETERBILT,362          90”-110”        BBC ALUMINUM TILT CAB,Pza,,,"7,688",,,,,,,,,
52,8701.20.02,,PETERBILT,"365/367    115""-123""    BBC ALUMINUM CAB",Pza,,,,,,,,,"101,625","111,475",,
53,8701.20.02,,PETERBILT,"365/367/567          115""-123"" BBC ALUMINUM CAB",Pza,,,,,,,,,,,"115,500",
54,8701.20.02,,PETERBILT,"377/378/379/385/387   111”-
127” ALUMINUM CAB",Pza,,,"10,109","11,231","12,341","17,091","20,136","25,557",,,,
55,8701.20.02,,PETERBILT,"382/386/388/389/587  112""-
131""  ALUM CAB",Pza,,,,,,,,,"70,890","74,855","84,283","89,000"
56,8701.20.02,,PETERBILT,385  112” BBC  ALUMINUM CAB,Pza,,,,"10,150","10,950","14,375","18,750","23,925",,,,
,8701.20.02,,STERLING,STERLING,,,,,,,,,,,,,
57,8701.20.02,,STERLING,A/ST9500 SERIES 113”-122” BBC STEEL ALUMINUM CAB,Pza,,,"9,025","10,150","11,492","14,150","17,300",,,,,
58,8701.20.02,,STERLING,CONDOR 68” BBC ALUMINUM CAB,Pza,,,,,,"58,450","66,200","73,400",,,,
59,8701.20.02,,STERLING,LT7/8/9500 SERIES 101”-122”BBC STEEL ALUMINUM CAB,Pza,,,"17,493","23,450","25,979","27,283","29,608","34,200",,,,
,8701.20.02,,VOLVO,VOLVO,,,,,,,,,,,,,
60,8701.20.02,,VOLVO,"AUTOCAR   ACL   64   112”
BBC STEEL CAB",Pza,,,,"40,150","48,550",,,,,,,
61,8701.20.02,,VOLVO,VN  SERIES  113”-189” BBC STEEL CAB,Pza,,,"8,289","9,606","10,906","14,548","18,384","22,853",,,,
62,8701.20.02,,VOLVO,"VN/VT   SERIES    113""-201""BBC STEEL CAB",Pza,,,,,,,,,"69,910","75,125","78,542",
63,8701.20.02,,VOLVO,"VN/VT/VNX   SERIES   113""-
201"" BBC STEEL CAB",Pza,,,,,,,,,,,,"88,500"
64,8701.20.02,,VOLVO,UVHD 113.6”  BBC  STEEL CAB,Pza,,,,,"31,975","33,325","37,425","42,025",,"57,900","66,500",
65,8701.20.02,,VOLVO,WG64T 112”  BBC  STEEL CAB,Pza,,,"21,700","28,550",,,,,,,,
66,8701.20.02,,VOLVO,"XPEDITOR     SERIES     81”-
90”  BBC STEEL CAB",Pza,,,,"43,925","47,988","62,100",,,,,,
,8701.20.02,,WESTERN STAR,WESTERN STAR,,,,,,,,,,,,,
67,8701.20.02,,WESTERN STAR,4700-4900   SERIES    109''-132'' BBC STEEL CAB,Pza,,,,,,,,,,"42,750","49,700",
68,8701.20.02,,WESTERN STAR,4800/5800    SERIES     109”BBC STEEL CAB,Pza,,,"8,800","9,933",,,,,,,,
69,8701.20.02,,WESTERN STAR,4900 SERIES 123”-132”BBC STEEL CAB,Pza,,,,,,"21,300","23,883","29,500","33,925",,,
70,8701.20.02,,WESTERN STAR,4900 SERIES 123”-132”BBC STEEL CAB 4900,Pza,,,,,,,,"28,900",,,,
71,8701.20.02,,WESTERN STAR,4900/5900   SERIES    123”-132” BBC STEEL CAB,Pza,,,"11,160","12,715","13,958","20,913","23,883","29,500",,,,
72,8701.20.02,,WESTERN STAR,"4900/5900   SERIES    123”-132”   BBC    STEEL    CAB
4900 EX EXT. HOOD",Pza,,,,,"15,300","21,300","24,425","30,275",,,,
73,8701.20.02,,WESTERN STAR,6900 SERIES 141”  BBC STEEL CAB,Pza,,,,,,,"61,000","65,650",,,,
